Movie Title,Year,Score,Director,Cast,Consensus
Under Siege,1992,79,Andrew Davis,"Steven Seagal, Tommy Lee Jones, Gary Busey, Erika Eleniak","A well-directed action thriller that makes the most of its confined setting, Under Siege marks a high point for early '90s action -- and its star's spotty filmography."
Independence Day,1996,68,Roland Emmerich,"Will Smith, Bill Pullman, Jeff Goldblum, Mary McDonnell","The plot is thin and so is character development, but as a thrilling, spectacle-filled summer movie, Independence Day delivers."
Bullitt,1968,98,Peter Yates,"Steve McQueen, Robert Vaughn, Jacqueline Bisset, Don Gordon",Steve McQueen is cool as ice in this thrilling police procedural that also happens to contain arguably the greatest movie car chase ever.
Wanted,2008,71,Timur Bekmambetov,"James McAvoy, Morgan Freeman, Angelina Jolie, Terence Stamp","Wanted is stylish, energetic popcorn fare with witty performances from Angelina Jolie (playing an expert assassin), James McAvoy, and Morgan Freeman that help to distract from its absurdly over-the-top plot."
Superman: The Movie,1978,94,Richard Donner,"Christopher Reeve, Gene Hackman, Marlon Brando, Margot Kidder","Superman deftly blends humor and gravitas, taking advantage of the perfectly cast Christopher Reeve to craft a loving, nostalgic tribute to an American pop culture icon."
Ronin,1998,70,John Frankenheimer,"Robert De Niro, Jean Reno, Natascha McElhone, Stellan Skarsgård","Ronin earns comparisons to The French Connection with strong action, dynamic road chase scenes, and solid performances."
They Live,1988,86,John Carpenter,"Roddy Piper, Keith David, Meg Foster, George ""Buck"" Flower","A politically subversive blend of horror and sci fi, They Live is an underrated genre film from John Carpenter."
Cliffhanger,1993,68,Renny Harlin,"Sylvester Stallone, John Lithgow, Michael Rooker, Janine Turner","While it can't escape comparisons to the movies it borrows from, Cliffhanger is a tense, action-packed thriller and a showcase for the talents that made Sylvester Stallone a star."
Marvel's the Avengers,2012,91,Joss Whedon,"Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth","Thanks to a script that emphasizes its heroes' humanity and a wealth of superpowered set pieces, The Avengers lives up to its hype and raises the bar for Marvel at the movies."
Hot Fuzz,2007,91,Edgar Wright,"Simon Pegg, Nick Frost, Jim Broadbent, Paddy Considine",The brilliant minds behind Shaun of the Dead successfully take a shot at the buddy cop genre with Hot Fuzz. The result is a bitingly satiric and hugely entertaining parody.
The Warriors,1979,88,Walter Hill,"Michael Beck, James Remar, Dorsey Wright, Brian Tyler","As violent as it is stylish, The Warriors is a thrilling piece of pulp filmmaking."
Starship Troopers,1997,70,Paul Verhoeven,"Casper Van Dien, Dina Meyer, Denise Richards, Jake Busey",A fun movie...if you can accept the excessive gore and wooden acting.
Elite Squad 2,2010,91,José Padilha,"Wagner Moura, Irandhir Santos, André Ramiro, Pedro Van-Held","Elite Squad: The Enemy Within is a bleak, violent descent into the Brazilian underbelly, ripping into the favelas with unstoppable and kinetic force."
Point Break,1991,70,Kathryn Bigelow,"Patrick Swayze, Keanu Reeves, Gary Busey, Lori Petty","Absurd, over-the-top, and often wildly entertaining, Point Break is here to show you that the human spirit is still alive."
The Long Kiss Goodnight,1996,68,Renny Harlin,"Geena Davis, Samuel L. Jackson, Patrick Malahide, Craig Bierko","Smart, sharp-witted, and fueled by enjoyably over-the-top action, The Long Kiss Goodnight makes up in impact what it lacks in consistent aim."
The Guest,2014,92,Adam Wingard,"Dan Stevens, Maika Monroe, Leland Orser, Sheila Kelley","Boasting enough intelligence to bolster its darkly violent thrills, The Guest offers another treat for genre fans from director Adam Wingard."
Taken,2008,59,Pierre Morel,"Liam Neeson, Maggie Grace, Famke Janssen, Leland Orser","Taken is undeniably fun with slick action, but is largely a brainless exercise."
